思群堂,1,12
群贤堂,1,12
图书馆逸夫楼,5,34
地理馆,5,50
物理楼,1,16
化学实验楼,1,42
生物实验楼,1,8
行政楼,1,38
教育学部楼,1,24
信息楼,1,46
计算机中心,6,11
商学院楼,1,14
心理与认知科学学院楼,1,49
法学院楼,1,18
音乐学院楼,1,25
美术学院楼,1,16
马克思主义学院楼,1,37
河口海岸大楼,4,32
国际教育中心,6,16
档案馆,5,30
校史馆,5,36
丽娃河,4,12
丽虹桥,4,23
共青场,5,17
体育健康楼,5,15
足球场,5,17
篮球场,5,42
排球场,5,45
百花园餐厅,6,46
银之春西餐厅,6,8
申云轩餐厅,6,32
河西食堂,2,7
河东食堂,2,50
丽娃食堂,2,13
华闵餐厅,6,45
秋实阁,6,24
秋林阁,6,14
校医院,6,12
学生活动中心,6,11
学术交流中心,6,31
第一教学楼,1,36
第二教学楼,1,42
第三教学楼,1,32
第四教学楼,1,35
实验A楼,1,37
实验B楼,1,13
实验教学中心,6,24
物理信息楼,1,23
法商楼,1,15
闵行图书馆,5,28
人文学院楼,1,22
统计学院楼,1,8
生命科学学院楼,1,48
数统楼,1,43
外语学院楼,1,38
田径场,5,41
游泳馆,5,10
崇真书院,6,27
桃李园广场,4,24
青年教师公寓,3,20
本科生公寓1号楼,3,33
本科生公寓2号楼,3,33
本科生公寓3号楼,3,23
本科生公寓4号楼,3,40
本科生公寓5号楼,3,48
本科生公寓6号楼,3,19
研究生公寓1号楼,3,15
研究生公寓2号楼,3,33
研究生公寓3号楼,3,20
研究生公寓4号楼,3,47
SPF实验动物中心,6,17
信息化办公室,6,48
后勤保障部,6,15
基建处,6,22
科技处,6,7
审计处,6,22
资产管理处,6,21
人事处,6,7
学校办公室,6,46
团委,6,18
学生资助管理中心,6,24
心理健康教育与咨询中心,6,31
校园警卫室,6,13
莲花路警卫室,6,7
虹梅路警卫室,6,24
立体停车库,6,11
闵行校区大门,6,22
中北校区大门,6,24
丽娃湖,4,45
柳长桥,4,25
梅陇井,6,27
紫竹广场,4,33
心中书社,6,12
翔华书店,6,46
河西浴室,4,36
河东浴室,4,38
丽娃浴室,6,38
西操场,5,15
东操场,5,35
综合体育馆,5,28
第四教学楼_extra,5,30
