name,type,weight
思群堂,1,23
群贤堂,1,10
图书馆逸夫楼,5,11
地理馆,5,38
物理楼,1,32
化学实验楼,1,36
生物实验楼,1,39
行政楼,1,28
教育学部楼,1,10
信息楼,1,21
计算机中心,6,12
商学院楼,1,26
心理与认知科学学院楼,1,50
法学院楼,1,28
音乐学院楼,1,38
美术学院楼,1,6
马克思主义学院楼,1,13
河口海岸大楼,4,39
国际教育中心,6,49
档案馆,5,34
校史馆,5,24
丽娃河,4,12
丽虹桥,4,27
共青场,5,21
体育健康楼,5,21
足球场,5,12
篮球场,5,48
排球场,5,36
百花园餐厅,6,5
银之春西餐厅,6,44
申云轩餐厅,6,25
河西食堂,2,24
河东食堂,2,46
丽娃食堂,2,21
华闵餐厅,6,7
秋实阁,6,5
秋林阁,6,47
校医院,6,5
学生活动中心,6,24
学术交流中心,6,24
第一教学楼,1,47
第二教学楼,1,32
第三教学楼,1,7
第四教学楼,1,15
实验A楼,1,28
实验B楼,1,39
实验教学中心,6,26
物理信息楼,1,43
法商楼,1,27
闵行图书馆,5,46
人文学院楼,1,13
统计学院楼,1,13
生命科学学院楼,1,14
数统楼,1,44
外语学院楼,1,20
田径场,5,21
游泳馆,5,6
崇真书院,6,47
桃李园广场,4,36
青年教师公寓,3,35
本科生公寓1号楼,3,35
本科生公寓2号楼,3,16
本科生公寓3号楼,3,17
本科生公寓4号楼,3,20
本科生公寓5号楼,3,44
本科生公寓6号楼,3,11
研究生公寓1号楼,3,31
研究生公寓2号楼,3,22
研究生公寓3号楼,3,14
研究生公寓4号楼,3,12
SPF实验动物中心,6,48
信息化办公室,6,22
后勤保障部,6,22
基建处,6,20
科技处,6,8
审计处,6,31
资产管理处,6,38
人事处,6,40
学校办公室,6,13
团委,6,29
学生资助管理中心,6,46
心理健康教育与咨询中心,6,45
校园警卫室,6,50                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
莲花路警卫室,6,18
虹梅路警卫室,6,18
立体停车库,6,7
闵行校区大门,6,37
中北校区大门,6,12
丽娃湖,4,25
柳长桥,4,36
梅陇井,6,23
紫竹广场,4,30
心中书社,6,5
翔华书店,6,8
河西浴室,4,24
河东浴室,4,13
丽娃浴室,6,6
西操场,5,18
东操场,5,27
综合体育馆,5,14
